"";"scenario";"ID";"station";"deficit30";"duration30";"count30";"intensity30"
"369";"rcp8p5";5;13005;0,00892889777230365;1;0;0,00686838290177204
"370";"historical";6;13005;1,44578537280589;37;1;0,038795671899979
"371";"rcp8p5";6;13005;3,2010432156985;65;1;0,0485496948791481
"372";"historical";7;13005;2,57386834512738;55;1;0,046320366139065
"373";"rcp8p5";7;13005;6,40922655431503;93;2;0,0684259062738259
"374";"historical";8;13005;2,96831564890959;55;0;0,0532274174938957
"375";"rcp8p5";8;13005;5,03963168664303;86;1;0,0584644047174366
"376";"historical";9;13005;2,42671694842477;50;1;0,0484697126849154
"377";"rcp8p5";9;13005;4,15281458878903;73;1;0,0565265143664569
"378";"historical";10;13005;1,48436434834925;41;1;0,0357965678862359
"379";"rcp8p5";10;13005;4,61019686469767;83;1;0,0553445001764427
"380";"historical";16;13005;0,0225610839203104;1;0;0,0114717375865985
"381";"rcp8p5";16;13005;0,0730726397135465;4;0;0,0155473701518184
"382";"historical";17;13005;0,0852142436761532;4;0;0,0201293488998787
"383";"rcp8p5";17;13005;0,30504333784246;11;1;0,0257783102402079
"384";"historical";18;13005;0,0874431608343033;4;0;0,0178455430274088
"385";"rcp8p5";18;13005;0,197253874604973;9;1;0,0219170971783303
"386";"historical";19;13005;0,0871872021544803;4;0;0,0216166616911935
"387";"rcp8p5";19;13005;0,0594611824112775;4;1;0,0127416819452738
"388";"historical";20;13005;0,00614463687054057;0;0;0,0122892737410811
"389";"rcp8p5";20;13005;0,108706381835062;5;1;0,0209050734298196
"390";"historical";6;13007;0,00187852800653202;0;0;0,0140889600489902
"391";"rcp8p5";6;13007;0,0922293678871103;0;0;0,106418501408204
"392";"historical";7;13007;0,0728128390150303;0;0;0,145625678030061
"393";"rcp8p5";7;13007;6,48393098353579;11;0;0,587667460743425
"394";"historical";8;13007;0,133151639364047;0;0;0,199727459046071
"395";"rcp8p5";8;13007;1,42843898978228;4;0;0,301782885165271
"396";"historical";9;13007;0,455875383669343;2;0;0,155412062614549
"397";"rcp8p5";9;13007;0,418484657965009;2;0;0,187381190133586
"398";"rcp8p5";10;13007;1,1030232520701;3;0;0,327630668931714
"399";"historical";16;13007;10,5061446781376;27;6;0,375666675022797
"400";"rcp8p5";16;13007;10,0417387696678;25;5;0,392766835840982
